Sample no.,X,Y
760,173.86,161.02
761,173.86,161.02
762,173.86,161.02
763,173.86,161.02
764,173.86,161.02
765,173.9,161.89
766,173.9,161.89
767,173.9,161.89
768,173.93,162.76
769,173.86,161.02
770,174.64,161.94
771,174.64,161.94
772,174.64,161.94
773,174.64,161.94
774,175.38,161.98
775,175.38,161.98
776,175.38,161.98
777,175.38,161.98
778,175.35,161.11
779,175.35,161.11
780,174.61,161.06
781,174.61,161.06
782,174.61,161.06
783,175.35,161.11
784,175.35,161.11
785,175.35,161.11
786,175.35,161.11
787,175.38,161.98
788,175.35,161.11
789,175.38,161.98
790,175.38,161.98
791,175.38,161.98
792,175.38,161.98
793,175.38,161.98
794,175.38,161.98
795,175.38,161.98
796,175.38,161.98
797,175.38,161.98
798,175.38,161.98
799,175.38,161.98
800,175.42,162.85
801,175.42,162.85
802,175.45,163.72
803,176.2,163.77
804,176.2,163.77
805,176.2,163.77
806,176.2,163.77
807,176.2,163.77
808,176.2,163.77
809,176.23,164.64
810,176.23,164.64
811,176.23,164.64
812,176.23,164.64
813,176.23,164.64
814,176.23,164.64
815,176.23,164.64
816,176.23,164.64
817,177.01,165.56
818,177.01,165.56
819,177.01,165.56
820,177.01,165.56
821,177.05,166.43
822,177.05,166.43
823,177.05,166.43
824,177.79,166.48
825,177.79,166.48
826,177.05,166.43
827,177.09,167.3
828,177.05,166.43
829,177.09,167.3
830,177.83,167.35
831,177.09,167.3
832,177.09,167.3
833,177.09,167.3
834,177.09,167.3
835,177.05,166.43
836,177.05,166.43
837,176.31,166.38
838,177.05,166.43
839,177.05,166.43
840,177.05,166.43
841,177.09,167.3
842,177.05,166.43
843,177.09,167.3
844,177.09,167.3
845,177.09,167.3
846,177.09,167.3
847,177.05,166.43
848,177.05,166.43
849,176.27,165.51
850,176.27,165.51
851,176.27,165.51
852,175.53,165.46
853,176.23,164.64
854,176.23,164.64
855,176.23,164.64
856,176.23,164.64
857,176.23,164.64
858,175.49,164.59
859,176.23,164.64
